ID;Age;Km;Price
102;4;148.000;$16.600.000
103;6;177.000;$16.800.000
104;5;92.620;$16.800.000
105;5;71.000;$16.890.000
106;4;101.055;$16.900.000
107;5;104.990;$16.900.000
108;4;113.000;$16.900.000
109;6;117.000;$16.900.000
110;5;72.000;$16.900.000
111;6;162.790;$16.900.000
112;6;162.047;$16.900.000
113;5;100.200;$16.950.000
114;4;120.000;$16.980.000
115;5;33.179;$16.980.000
116;6;65.000;$16.990.000
117;5;68.200;$16.990.000
118;5;95.400;$16.990.000
119;5;126.400;$16.990.000
120;4;50.000;$17.000.000
121;5;70.000;$17.000.000
122;4;92.000;$17.100.000
123;4;73.238;$17.100.000
124;4;80.200;$17.190.000
125;3;86.600;$17.200.000
126;4;45.000;$17.250.000
127;5;134.000;$17.300.000
128;4;61.000;$17.390.000
129;5;104.000;$17.450.000
130;5;85.027;$17.500.000
131;4;72.770;$17.500.000
132;5;93.000;$17.500.000
133;5;70.000;$17.500.000
134;4;90.000;$17.500.000
135;4;98.100;$17.580.000
136;4;80.000;$17.600.000
138;4;95.427;$17.780.000
139;4;108.000;$17.800.000
140;5;185.000;$17.800.000
141;4;60.000;$17.800.000
142;4;118.000;$17.800.000
143;4;109.000;$17.800.000
144;4;108.000;$17.800.000
145;3;30.000;$17.800.000
146;4;61.000;$17.880.000
147;4;108.000;$17.900.000
148;4;108.000;$17.900.000
149;4;108.000;$17.900.000
150;4;73.413;$17.990.000
151;3;83.500;$17.990.000
152;5;84.000;$18.000.000
153;4;92.000;$18.000.000
154;5;84.000;$18.000.000
155;4;94.000;$18.000.000
156;4;105.000;$18.190.000
157;6;65.000;$18.200.000
158;3;34.000;$18.290.000
159;4;89.000;$18.390.000
160;4;72.000;$18.490.000
161;5;100.000;$18.500.000
162;4;89.679;$18.500.000
163;3;29.006;$18.500.000
164;4;57.000;$18.500.000
165;4;79.560;$18.500.000
166;4;175.000;$18.500.000
167;4;35.000;$18.800.000
168;3;130.000;$18.990.000
169;4;26.000;$18.990.000
170;3;64.916;$18.990.000
171;3;48.511;$18.990.000
172;5;72.000;$18.990.000
173;3;48.777;$19.000.000
174;4;85.000;$19.000.000
175;5;140.000;$19.000.000
176;4;49.000;$19.500.000
177;6;141.000;$19.790.000
178;3;25.000;$19.880.000
179;1;1.200;$19.890.000
181;5;81.570;$19.990.000
182;6;112.000;$19.990.000
183;4;29.000;$20.000.000
184;3;60.000;$20.200.000
185;3;42.120;$20.490.000
186;4;47.488;$20.500.000
187;3;95.000;$20.800.000
188;1;19.200;$20.900.000
189;4;49.110;$20.990.000
190;3;65.000;$21.000.000
191;4;60.000;$21.200.000
192;2;48.231;$21.490.000
193;5;61.900;$21.500.000
194;2;30.200;$21.990.000
196;4;60.000;$22.690.000
197;4;83.000;$22.950.000
198;1;24.900;$22.990.000
199;4;93.305;$22.990.000
200;1;29.430;$22.990.000
201;3;26.500;$23.000.000
202;1;23.000;$23.000.000
203;1;10.000;$24.000.000
204;3;54.000;$24.150.000
205;4;33.500;$24.300.000
206;1;5.000;$24.990.000
207;1;15.000;$27.000.000
208;1;1.000;$27.490.000
209;2;29.000;$27.500.000
210;2;12.000;$27.690.000
211;2;1.950;$28.990.000
212;1;10.000;$30.500.000
213;1;28.300;$31.500.000
